	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
HP	0	3.48100355749821	0.952	0.651	0	Hepatocytes	HP
FGB	0	2.97656544425289	0.981	0.729	0	Hepatocytes	FGB
TTR	0	2.95630325993912	0.964	0.726	0	Hepatocytes	TTR
FGG	0	2.92402420549918	0.989	0.734	0	Hepatocytes	FGG
APOA2	0	2.83707557553185	0.997	0.979	0	Hepatocytes	APOA2
TF	0	2.77353721598386	0.979	0.601	0	Hepatocytes	TF
ALB	0	2.75234252459747	1	0.978	0	Hepatocytes	ALB
APOA1	0	2.75094535497063	0.979	0.824	0	Hepatocytes	APOA1
APOC3	0	2.68178665470295	0.987	0.918	0	Hepatocytes	APOC3
HRG	0	2.67609718122404	0.93	0.517	0	Hepatocytes	HRG
FGA	0	2.63348825194628	0.98	0.609	0	Hepatocytes	FGA
APOH	0	2.6291952975435	0.992	0.74	0	Hepatocytes	APOH
AMBP	0	2.62575607743712	0.978	0.714	0	Hepatocytes	AMBP
KNG1	0	2.60519730774354	0.955	0.534	0	Hepatocytes	KNG1
GC	0	2.60340514431294	0.977	0.571	0	Hepatocytes	GC
ORM1	0	2.59244190337682	0.939	0.481	0	Hepatocytes	ORM1
CLU	0	2.58877886049803	0.963	0.497	0	Hepatocytes	CLU
SERPINA1	0	2.58451238447187	0.994	0.937	0	Hepatocytes	SERPINA1
ALDOB	0	2.55036190721575	0.929	0.531	0	Hepatocytes	ALDOB
RBP4	0	2.54808323481816	0.99	0.808	0	Hepatocytes	RBP4
GSTA1	0	2.546435048483	0.873	0.293	0	Hepatocytes	GSTA1
SERPINC1	0	2.45549720441086	0.947	0.515	0	Hepatocytes	SERPINC1
CFHR1	0	2.42834731038091	0.909	0.359	0	Hepatocytes	CFHR1
ADH1B	0	2.42000271946102	0.931	0.315	0	Hepatocytes	ADH1B
APCS	0	2.38393679009822	0.8	0.297	0	Hepatocytes	APCS
APOB	0	2.3793463646558	0.948	0.412	0	Hepatocytes	APOB
MT1A	0	2.36637576005724	0.339	0.142	0	Hepatocytes	MT1A
HMGCS2	0	2.27162458244194	0.913	0.269	0	Hepatocytes	HMGCS2
ANG	0	2.26661495896638	0.888	0.361	0	Hepatocytes	ANG
C3	0	2.26093447111007	0.914	0.352	0	Hepatocytes	C3
AHSG	0	2.24777815226074	0.926	0.372	0	Hepatocytes	AHSG
CP	0	2.22770692528798	0.852	0.25	0	Hepatocytes	CP
APOC1	0	2.220668312673	0.998	0.948	0	Hepatocytes	APOC1
AGXT	0	2.218650768036	0.906	0.341	0	Hepatocytes	AGXT
CFH	0	2.19465943199401	0.93	0.368	0	Hepatocytes	CFH
HPX	0	2.19180358157304	0.9	0.271	0	Hepatocytes	HPX
F2	0	2.17741047403145	0.927	0.272	0	Hepatocytes	F2
