Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell-matrix adhesion	GOTERM_BP_DIRECT	9	4.568527918781726	9.603794911536518e-06	ITGB1, SGCE, CD63, COL3A1, COL5A3, ITGA1, RAC1, NID1, NID2	186	109	19462	8.639538324948209	0.0154094514103502	0.0115967420550103	0.0114317914877467
extracellular matrix organization	GOTERM_BP_DIRECT	11	5.583756345177665	1.4343527588138958e-05	ADAMTS4, ITGB1, COL3A1, EGFLAM, COL4A2, COL4A1, ADAMTS1, COL5A3, ITGA1, COL5A2, ADAMTS9	186	190	19462	6.05778155065082	0.0229267452235051	0.0115967420550103	0.0114317914877467
basement membrane organization	GOTERM_BP_DIRECT	5	2.538071065989848	5.0565572116535294e-05	ITGB1, COL3A1, COL4A1, NID1, NID2	186	22	19462	23.780547409579665	0.07851298895323	0.0272548433708125	0.0268671739845857
collagen fibril organization	GOTERM_BP_DIRECT	7	3.5532994923857872	9.216359687798256e-05	COL3A1, COL4A2, COL4A1, COL5A3, COL5A2, SERPINH1, LOXL2	186	77	19462	9.512218963831868	0.1384613876201225	0.0334777135489666	0.0330015308577939
integrin-mediated signaling pathway	GOTERM_BP_DIRECT	8	4.060913705583756	0.00010351797634188816	ITGB1, NRP1, COL3A1, ADAMTS1, ITGA1, MYH9, ISG15, THY1	186	113	19462	7.407745741745171	0.1541364596473544	0.0334777135489666	0.0330015308577939
activation of cysteine-type endopeptidase activity involved in apoptotic process	GOTERM_BP_DIRECT	7	3.5532994923857872	0.00013088241758700374	BEX3, FAM162A, DLC1, F2R, BAX, RPS27L, PPARG	186	82	19462	8.932205612378706	0.1907526980701764	0.0352728115396975	0.034771095605614
heart development	GOTERM_BP_DIRECT	10	5.076142131979696	0.0002733474727722933	COL3A1, MAP2K1, ADAP2, KCNJ8, ID3, PLCE1, ECE1, PPARG, SRI, SOX4	186	221	19462	4.734588624531699	0.3572910394537668	0.0580259124326075	0.057200559318229
signal transduction	GOTERM_BP_DIRECT	27	13.705583756345176	0.00028707934413163907	LGALS3BP, BEX3, NRP1, ENPEP, GMFG, SRI, ARHGAP15, RASD1, GRK5, MDK, STMN1, RAC1, CLIC1, PDGFRB, GUCY1A2, MAP2K1, IGFBP4, IGFBP2, CLEC11A, RHOC, ARHGAP26, GNG11, INPP4B, DLC1, NOSTRIN, PPARG, TNFRSF21	186	1310	19462	2.15658704752524	0.3714086681839637	0.0580259124326075	0.057200559318229
long-chain fatty acid transport	GOTERM_BP_DIRECT	4	2.030456852791878	0.0004320094000876959	FABP4, FABP5, PPARG, CD36	186	16	19462	26.15860215053764	0.502773755171475	0.0776176888824226	0.0765136648599763
cellular respiration	GOTERM_BP_DIRECT	5	2.538071065989848	0.0006671215222410485	COX4I1, COX4I2, CYCS, MT-CO2, CYC1	186	42	19462	12.456477214541732	0.6600971662859081	0.1035737625154265	0.102100542640439
