	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ACTA2	6.76397944020723e-58	1.26353919637439	1	0.964	1.00424802748757e-53	MF1	ACTA2
MYL9	1.48738971962343e-55	0.993512605400655	1	0.977	2.20832751672491e-51	MF1	MYL9
TPM2	5.03232539272924e-52	1.05320482042731	1	0.943	7.4714935105851e-48	MF1	TPM2
DSTN	8.87829446042727e-48	0.996104882551773	1	0.966	1.31816037853964e-43	MF1	DSTN
TAGLN	3.34703289150379e-47	1.06157641205989	1	0.954	4.96933973401567e-43	MF1	TAGLN
MYH11	8.99513364729895e-42	0.994874967822132	0.993	0.657	1.33550749261448e-37	MF1	MYH11
ADIRF	9.53495944190628e-37	1.04053920322792	0.97	0.865	1.41565542833983e-32	MF1	ADIRF
MYL6	1.9742822220367e-35	0.540311974863084	1	1	2.93121681505789e-31	MF1	MYL6
MYLK	2.31889328677247e-34	0.922710392258145	1	0.931	3.44286086287108e-30	MF1	MYLK
SORBS2	5.81303708058073e-34	0.978882205094176	0.839	0.438	8.6306161535382e-30	MF1	SORBS2
CNN1	9.22651204981377e-34	1.08546922499014	0.783	0.352	1.36986024403585e-29	MF1	CNN1
SOD3	1.01964663625439e-33	0.891393840560171	0.966	0.692	1.5138693608469e-29	MF1	SOD3
NDUFA4	9.44884162994878e-33	0.757261884043799	1	0.899	1.4028695167985e-28	MF1	NDUFA4
PHLDA2	5.66160073333021e-31	0.948449302145902	0.861	0.48	8.40577860877536e-27	MF1	PHLDA2
TPM1	6.70492719575647e-29	0.713356938276318	0.996	0.977	9.95480540753963e-25	MF1	TPM1
COL14A1	8.51682260423424e-29	0.795414787761805	0.921	0.648	1.26449265205066e-24	MF1	COL14A1
S100A4	2.78472751587111e-28	1.16897058037543	0.918	0.708	4.13448494281384e-24	MF1	S100A4
PDLIM5	1.08801192809222e-27	0.758573251623446	0.914	0.617	1.61537130963852e-23	MF1	PDLIM5
ACTG2	2.52322793274061e-27	1.66125975535015	0.787	0.482	3.74623651173998e-23	MF1	ACTG2
PLN	5.1812119444312e-27	0.961703770799261	0.745	0.352	7.692545373897e-23	MF1	PLN
ACTB	8.66545608333072e-27	0.499016810036433	1	1	1.28656026469211e-22	MF1	ACTB
RERGL	3.54734292013631e-26	1.01171510783809	0.783	0.416	5.26674003352638e-22	MF1	RERGL
PPP1R14A	9.8349915369003e-26	0.669792070192289	0.996	0.893	1.46020119348359e-21	MF1	PPP1R14A
CSRP1	1.02504618250195e-24	0.743778997563909	0.959	0.753	1.52188606716065e-20	MF1	CSRP1
CRIP2	8.30037258625154e-24	0.567736924271551	0.978	0.916	1.23235631788077e-19	MF1	CRIP2
WFDC1	1.76106335607182e-23	0.725399294549021	0.67	0.313	2.61465076475983e-19	MF1	WFDC1
HCFC1R1	8.41492793717166e-23	0.666689967624514	0.925	0.696	1.24936435083188e-18	MF1	HCFC1R1
CSRP2	3.22169826227645e-22	0.733302441388218	0.955	0.719	4.78325541000185e-18	MF1	CSRP2
LMOD1	3.39388694658569e-22	0.662190333490755	0.873	0.6	5.03890394959578e-18	MF1	LMOD1
TP53I11	1.53297443037754e-21	0.66794271000151	0.637	0.299	2.27600713678153e-17	MF1	TP53I11
PPP1R12B	1.9346032517911e-21	0.623632736769165	0.813	0.491	2.87230544793424e-17	MF1	PPP1R12B
CALD1	2.16016736832997e-21	0.466932086571743	1	0.996	3.20720049175951e-17	MF1	CALD1
FLNA	2.57767505958171e-21	0.636025979087884	0.936	0.753	3.82707416096096e-17	MF1	FLNA
CTXN1	6.83798133874703e-21	0.519341305387713	0.438	0.148	1.01523508936377e-16	MF1	CTXN1
LBH	1.01006134126458e-18	0.667473774796738	0.899	0.724	1.49963807337552e-14	MF1	LBH
BCAM	1.14114318198222e-18	0.514473602004691	0.625	0.31	1.694255282289e-14	MF1	BCAM
HSPB1	1.51784089961949e-18	0.530654371829476	0.985	0.966	2.25353838366505e-14	MF1	HSPB1
CAVIN1	1.52836847346409e-18	0.558774080648676	0.918	0.778	2.26916867255214e-14	MF1	CAVIN1
SPARCL1	1.85465830546392e-18	0.717964252661772	0.985	0.891	2.75361118612228e-14	MF1	SPARCL1
VIM	2.00794790133712e-18	0.388265274533107	1	0.982	2.98120024911523e-14	MF1	VIM
PDLIM3	2.20335048499888e-18	0.633157797147391	0.753	0.447	3.27131446507784e-14	MF1	PDLIM3
SELENOM	1.23456361663511e-17	0.708724352401271	0.899	0.717	1.83295660161815e-13	MF1	SELENOM
IGFBP7	1.34917277557585e-17	0.358295977019846	1	0.988	2.00311681989747e-13	MF1	IGFBP7
LTBP1	2.33529005243806e-17	0.494417609877873	0.588	0.279	3.46720514085479e-13	MF1	LTBP1
CAV1	7.38733969057533e-17	0.477890766069086	0.989	0.87	1.09679832385972e-12	MF1	CAV1
MT1E	9.42679329143946e-17	0.647815339733738	0.891	0.71	1.39959599998002e-12	MF1	MT1E
SLIT3	2.19015888226205e-16	0.503123180789286	0.884	0.593	3.25172889249447e-12	MF1	SLIT3
CRYAB	5.36773379090968e-16	0.596683226979104	0.854	0.635	7.9694743593636e-12	MF1	CRYAB
CAP2	1.1559176730278e-15	0.417242132102396	0.644	0.343	1.71619096914437e-11	MF1	CAP2
KCNA5	1.17257494934428e-15	0.436131543962511	0.64	0.338	1.74092202729146e-11	MF1	KCNA5
SELENOW	1.23288836192279e-15	0.452619861989852	0.996	0.956	1.83046935094676e-11	MF1	SELENOW
CD151	1.41082916442496e-15	0.476571505596774	0.94	0.842	2.09465806042174e-11	MF1	CD151
RCAN2	1.7548338509144e-15	0.484847518440873	0.858	0.601	2.60540181845261e-11	MF1	RCAN2
SLMAP	2.53777081781386e-15	0.490633040031779	0.494	0.221	3.76782833320823e-11	MF1	SLMAP
MSRB3	4.44399167977311e-15	0.519070647975742	0.82	0.568	6.59799444695913e-11	MF1	MSRB3
HACD1	5.31706225837487e-15	0.481928142331753	0.453	0.196	7.89424233500917e-11	MF1	HACD1
MRGPRF	6.43288464517144e-15	0.482246168416825	0.494	0.23	9.55090383268603e-11	MF1	MRGPRF
JAG1	7.02046090505266e-15	0.520218979057336	0.925	0.733	1.04232783057317e-10	MF1	JAG1
CAVIN3	1.06308889839294e-14	0.554939576914236	0.876	0.651	1.578368087444e-10	MF1	CAVIN3
CASQ2	1.1266799156712e-14	0.480905770039246	0.801	0.52	1.67278167079702e-10	MF1	CASQ2
