Hallmark	coefficient	p_value
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.6442792538878235	5.191511784046641e-30
HALLMARK_HYPOXIA	-0.27378387728726933	1.4388357250228772e-05
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.009442054369177848	0.8833407924377327
HALLMARK_MITOTIC_SPINDLE	0.010042270776817994	0.8759828067151398
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.11912517040578607	0.06318886478884714
HALLMARK_TGF_BETA_SIGNALING	0.39079294027354405	2.5094638262302343e-10
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.1761896463404386	0.005786168913851744
HALLMARK_DNA_REPAIR	0.0004935554850725374	0.9938802899557703
HALLMARK_G2M_CHECKPOINT	-0.07751212364641381	0.22767236464274013
HALLMARK_APOPTOSIS	-0.14044963627779744	0.02827053556905599
HALLMARK_NOTCH_SIGNALING	0.060940342993286656	0.3431743850842404
HALLMARK_ADIPOGENESIS	0.08970189394156428	0.1624705343984504
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.4111638235214658	2.2668416906198486e-11
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.3501638902998976	1.902920538807434e-08
HALLMARK_ANDROGEN_RESPONSE	-0.10075569259352685	0.11646872890416905
HALLMARK_MYOGENESIS	0.02773042946386504	0.6664525638790502
HALLMARK_PROTEIN_SECRETION	0.12612222156905628	0.049086408915006464
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.11826304260208013	0.06513665216334737
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.12032356900947055	0.06056106017420125
HALLMARK_APICAL_JUNCTION	0.24610733757261893	0.00010254353299914319
HALLMARK_APICAL_SURFACE	0.0895532957461578	0.16317049584066404
HALLMARK_HEDGEHOG_SIGNALING	0.08517589349203714	0.1848168765608309
HALLMARK_COMPLEMENT	-0.128088949773936	0.04563218034479063
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.13982526678465268	0.028987003423142487
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.17672882517059346	0.005636000449628299
HALLMARK_MTORC1_SIGNALING	0.006992950597202348	0.9134612330348428
HALLMARK_E2F_TARGETS	-0.03183303708473146	0.6207272095669678
HALLMARK_MYC_TARGETS_V1	0.2113842772961554	0.0008918363038394977
HALLMARK_MYC_TARGETS_V2	-0.02904730325033105	0.6516301468985722
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.15886104115039903	0.012971744834608862
HALLMARK_INFLAMMATORY_RESPONSE	-0.17565462017499056	0.005938714745762042
HALLMARK_XENOBIOTIC_METABOLISM	-0.1947537065150566	0.002244294352437559
HALLMARK_FATTY_ACID_METABOLISM	-0.028222266442368263	0.6609010168963764
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.1403544699564384	0.028378750137916936
HALLMARK_GLYCOLYSIS	0.029601206291326024	0.6454357660430239
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.04669351620356255	0.4678223634056145
HALLMARK_P53_PATHWAY	-0.3138502130430823	5.605355907680541e-07
HALLMARK_UV_RESPONSE_UP	-0.4607448183173078	3.164908905306374e-14
HALLMARK_UV_RESPONSE_DN	0.13836591200012166	0.03072243383492188
HALLMARK_ANGIOGENESIS	0.38515974651098467	4.742223077423953e-10
HALLMARK_HEME_METABOLISM	-0.177206585109575	0.005505867745414367
HALLMARK_COAGULATION	-0.3409893071084342	4.663142761791692e-08
HALLMARK_IL2_STAT5_SIGNALING	-0.10568962752927538	0.09954502520537964
HALLMARK_BILE_ACID_METABOLISM	-0.23284163136803954	0.00024351835669792564
HALLMARK_PEROXISOME	-0.11634018288246968	0.06965849562946862
HALLMARK_ALLOGRAFT_REJECTION	0.08399212995908123	0.19101801465658563
HALLMARK_SPERMATOGENESIS	-0.037660609315403555	0.5582354796433953
HALLMARK_KRAS_SIGNALING_UP	-0.18263373657169493	0.004205873309699613
HALLMARK_KRAS_SIGNALING_DN	-0.1641992021217309	0.010194421127866749
HALLMARK_PANCREAS_BETA_CELLS	-0.049255817885951736	0.4437271269003151
